POISSON BOLTZMANN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EPB,ENPOLAR,EDISPER,GGAS,GSOLV,TOTAL
7,2.05,8.56,5.21,2.49,0.13,0.0,-0.43,-23.91,1.2,3.38,0.0,21.35,-18.99,-1.31,2.36,1.05
8,1.67,13.6,4.28,3.58,0.23,0.0,-0.97,-24.16,0.22,-1.01,0.0,21.53,-18.93,-2.57,2.6,0.03
9,1.11,7.82,5.19,2.74,0.56,0.0,-0.13,-22.15,0.41,-7.98,0.0,21.68,-19.23,-12.44,2.46,-9.98
10,1.46,9.21,4.43,3.29,1.39,0.0,-1.39,-22.18,0.84,-7.84,0.0,21.98,-19.23,-10.8,2.76,-8.05
11,0.95,7.33,7.7,2.67,1.38,0.0,-1.17,-21.12,1.15,-7.09,0.0,21.54,-19.1,-8.19,2.44,-5.75
12,5.81,10.05,5.93,4.44,0.02,0.0,-1.13,-22.64,1.57,-7.45,0.0,21.45,-18.96,-3.4,2.49,-0.91
13,3.53,8.83,5.72,3.29,0.0,0.0,-1.51,-22.24,0.54,-7.43,0.0,21.73,-19.28,-9.26,2.45,-6.82
14,4.08,7.7,6.59,3.55,0.28,0.0,-1.21,-22.54,1.25,-6.35,0.0,21.78,-19.08,-6.65,2.7,-3.95
15,2.51,10.03,5.37,3.92,0.04,0.0,-1.35,-22.42,0.93,-6.35,0.0,21.46,-19.15,-7.32,2.31,-5.01
16,2.11,7.68,5.48,2.67,0.15,0.0,0.2,-20.86,0.91,-8.51,0.0,21.78,-18.98,-10.16,2.81,-7.35
17,0.97,8.48,4.18,2.27,0.0,0.0,-1.23,-21.09,0.73,-8.6,0.0,21.72,-19.22,-14.29,2.51,-11.79
18,1.61,10.87,5.44,3.83,0.39,0.0,-1.25,-21.38,1.09,-6.93,0.0,21.74,-19.29,-6.34,2.45,-3.9
19,3.18,7.82,4.49,2.31,0.01,0.0,-1.54,-21.28,0.63,-7.54,0.0,21.58,-18.96,-11.91,2.62,-9.29
20,2.29,11.67,4.24,4.8,0.04,0.0,-1.35,-21.58,0.6,-4.5,0.0,21.71,-19.27,-3.81,2.44,-1.37
21,2.24,8.42,4.46,3.28,0.03,0.0,-1.68,-21.33,0.46,-6.82,0.0,21.6,-19.14,-10.93,2.46,-8.47
22,2.43,11.29,4.36,3.55,0.98,0.0,-1.25,-22.57,0.71,-5.97,0.0,21.8,-18.99,-6.47,2.81,-3.66
23,2.69,10.89,7.04,3.44,0.28,0.0,-1.5,-22.32,0.52,-6.09,0.0,21.65,-18.85,-5.05,2.79,-2.25
24,1.92,10.85,6.28,2.97,0.28,0.0,-1.15,-22.57,0.71,-5.73,0.0,21.53,-18.98,-6.44,2.56,-3.88
25,2.65,6.5,5.76,1.69,0.07,0.0,-1.1,-21.61,0.67,-5.5,0.0,21.56,-19.06,-10.88,2.5,-8.38
26,2.56,10.02,4.99,3.75,0.2,0.0,-0.49,-21.63,0.44,-5.09,0.0,21.85,-19.14,-5.25,2.71,-2.54
27,6.22,10.77,4.56,4.36,0.05,0.0,-1.65,-21.67,0.22,-6.41,0.0,21.95,-18.91,-3.54,3.04,-0.5
28,1.32,6.1,4.59,2.17,0.47,0.0,-1.04,-21.19,0.82,-6.96,0.0,21.56,-18.96,-13.72,2.6,-11.12
29,2.19,11.51,4.88,3.12,1.25,0.0,-1.44,-21.39,0.42,-6.78,0.0,21.61,-19.17,-6.24,2.44,-3.8
30,1.59,9.35,4.81,2.93,0.38,0.0,-1.44,-22.83,-0.13,-2.74,0.0,21.54,-18.55,-8.08,3.0,-5.08
31,2.11,13.82,8.33,3.04,2.13,0.0,-1.39,-21.35,0.69,-8.1,0.0,21.85,-18.91,-0.72,2.94,2.22
32,1.91,12.01,3.62,4.46,0.01,0.0,-1.58,-22.26,0.61,-3.55,0.0,21.51,-18.82,-4.77,2.69,-2.08
33,3.54,10.79,4.18,3.39,0.21,0.0,-1.06,-22.96,0.6,-4.42,0.0,21.34,-18.79,-5.72,2.54,-3.18
34,1.24,13.5,4.48,3.88,0.49,0.0,-1.42,-22.62,-0.05,-5.58,0.0,21.78,-19.1,-6.08,2.68,-3.4
35,2.87,11.45,5.07,2.97,0.15,0.0,-1.47,-21.12,0.61,-7.72,0.0,21.64,-19.11,-7.19,2.53,-4.66
36,3.6,7.17,4.27,3.04,0.38,0.0,-1.05,-21.09,1.13,-8.0,0.0,21.33,-18.94,-10.54,2.39,-8.14
37,3.3,11.08,4.21,3.65,0.08,0.0,0.03,-22.91,0.91,-2.31,0.0,21.56,-18.96,-1.96,2.59,0.64
38,1.14,13.71,4.79,3.1,0.28,0.0,-1.58,-21.29,0.41,-7.06,0.0,21.6,-18.89,-6.49,2.7,-3.79
39,1.18,12.65,5.91,4.5,0.0,0.0,-1.35,-21.47,1.02,-6.17,0.0,21.56,-19.1,-3.74,2.46,-1.28
40,1.46,11.1,6.41,3.35,0.07,0.0,-1.4,-22.02,0.83,-8.65,0.0,21.79,-19.07,-8.85,2.72,-6.13
41,1.64,10.19,5.11,2.68,0.39,0.0,-1.68,-22.02,0.23,-7.34,0.0,21.71,-19.15,-10.8,2.57,-8.23
42,1.65,7.87,5.12,2.61,0.06,0.0,-1.05,-21.17,1.34,-7.89,0.0,21.61,-19.41,-11.45,2.21,-9.24
43,2.6,7.41,4.04,2.66,0.4,0.0,-0.26,-22.03,0.41,-7.01,0.0,21.48,-18.96,-11.78,2.53,-9.25
44,1.97,13.48,4.48,4.29,0.03,0.0,-1.56,-23.09,0.17,-2.76,0.0,21.61,-18.99,-3.01,2.62,-0.39
45,5.19,9.32,4.78,3.1,0.03,0.0,-1.47,-21.38,0.61,-7.88,0.0,21.56,-19.01,-7.71,2.54,-5.16
46,2.89,7.81,4.15,2.52,0.07,0.0,-1.59,-20.95,1.16,-9.96,0.0,21.65,-19.19,-13.91,2.46,-11.44
47,1.06,10.55,7.12,2.74,0.05,0.0,-1.3,-21.38,1.11,-8.24,0.0,21.67,-19.29,-8.31,2.38,-5.93
48,1.95,6.88,5.31,2.91,0.0,0.0,-1.07,-21.43,1.18,-6.94,0.0,21.48,-19.1,-11.2,2.38,-8.83
49,1.69,9.18,4.07,2.74,0.01,0.0,-0.78,-21.24,1.24,-7.86,0.0,21.4,-19.06,-10.94,2.34,-8.6
50,2.38,11.84,6.88,2.7,2.96,0.0,-1.21,-22.35,0.55,-8.27,0.0,21.78,-18.92,-4.51,2.86,-1.65
51,1.98,11.61,4.41,4.55,0.98,0.0,-1.19,-21.13,0.25,-7.59,0.0,21.7,-18.9,-6.13,2.8,-3.33
52,0.7,7.02,4.94,1.48,0.09,0.0,-1.14,-21.3,1.28,-8.23,0.0,21.43,-19.06,-15.17,2.37,-12.81
53,3.12,7.05,5.26,1.99,0.0,0.0,-0.25,-21.83,0.03,-4.63,0.0,21.61,-19.04,-9.25,2.58,-6.67
54,4.3,7.94,3.97,2.29,0.06,0.0,-1.45,-21.64,0.37,-6.74,0.0,21.55,-18.93,-10.89,2.62,-8.27
