POISSON BOLTZMANN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EPB,ENPOLAR,EDISPER,GGAS,GSOLV,TOTAL
76,2.97,4.07,6.09,2.11,0.01,0.0,-0.53,-21.93,0.76,-7.4,0.0,21.26,-18.71,-13.85,2.55,-11.3
77,3.44,9.09,4.54,2.5,1.42,0.0,-0.52,-22.63,0.34,-4.11,0.0,21.33,-18.87,-5.94,2.46,-3.48
78,2.26,11.33,8.49,3.17,0.19,0.0,-1.24,-21.35,1.24,-8.16,0.0,21.41,-19.19,-4.05,2.23,-1.83
79,2.17,8.73,4.83,2.73,0.25,0.0,-1.35,-21.65,0.45,-6.89,0.0,21.52,-19.16,-10.72,2.36,-8.36
80,1.46,7.88,5.26,2.1,0.37,0.0,-1.38,-22.14,0.28,-7.76,0.0,21.71,-18.96,-13.92,2.75,-11.17
81,1.24,7.8,4.14,2.2,0.01,0.0,-0.89,-22.7,0.77,-5.2,0.0,21.3,-18.78,-12.62,2.53,-10.1
82,1.47,9.0,4.88,2.22,0.0,0.0,-1.14,-20.87,0.59,-9.02,0.0,21.59,-19.1,-12.88,2.49,-10.39
83,1.91,11.6,7.15,4.78,0.22,0.0,-0.24,-21.9,0.75,-7.7,0.0,21.65,-19.18,-3.42,2.47,-0.95
84,1.64,7.04,4.96,3.22,0.01,0.0,-1.13,-22.09,1.52,-7.97,0.0,21.33,-19.09,-12.79,2.24,-10.55
85,1.92,6.71,6.21,1.58,0.01,0.0,-0.42,-21.75,0.84,-8.17,0.0,21.58,-18.98,-13.08,2.6,-10.47
86,2.05,7.18,6.96,1.89,0.02,0.0,-1.36,-22.12,0.75,-8.21,0.0,21.64,-19.05,-12.85,2.6,-10.25
87,2.1,10.42,5.54,3.07,0.0,0.0,-1.59,-21.23,1.26,-8.61,0.0,21.55,-19.22,-9.04,2.34,-6.71
88,2.33,7.14,6.3,2.23,0.24,0.0,-1.08,-21.68,1.39,-6.34,0.0,21.44,-18.99,-9.47,2.45,-7.02
89,2.81,10.03,4.66,3.98,0.69,0.0,-0.92,-22.41,0.62,-5.67,0.0,21.79,-19.21,-6.21,2.59,-3.62
90,1.4,9.86,4.72,3.35,0.01,0.0,-0.34,-21.61,1.23,-6.22,0.0,21.54,-19.2,-7.61,2.34,-5.27
91,2.58,11.4,4.39,4.8,0.14,0.0,-1.22,-21.29,0.63,-7.78,0.0,21.98,-19.05,-6.36,2.93,-3.43
